provider_place_id,provider_name,preferred_partner,name,longitude,latitude,street,city,region,postal_code,country_code,household_count,evs_access,reservable,evs_location,opening_hours_internal,open_24h,free_charge,auth_methods,payment_methods,entries,entry_exits,exits,notes,phone,url,picture_url,email,dyn_data,service_type,parking_slots,green_energy,floor_level,chargenow,yomi,status,legal_disclaimer,recent_use,operator_name,operator_id,suboperator_name,suboperator_id,verification_status,last_modified,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typ1_count,typ2_count,typ3_count,typcn_count,typcndc_count,chademo_count,combotyp1_count,combotyp2_count,cee_count,station_name,district,p_ingestday,provider_id,Target_Date,Planned_Status
395815801_1101090002,CIS,,快充 特来电,116.107051,39.935151,市辖区门头沟区双峪路1号,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/134/0caa86b6c29744d2a0e7a56a849bad99.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,3,0,90.0,38.0,700.0,,,,,,,,3.0,,,,,特来电北京京西晨光酒店充电站,门头沟区,2025-08-30,256,2026-05-20,Pending
324887859_243,CIS,,快充/慢充 珠海驿联,115.956955,39.748853,房山区燕山岗北路4号,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 189 3155 8867,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,珠海驿联,CHA:035111436a4c339e43a366c9725affa0,,,,2025-08-26 23:33:33.209793,2,4,30.0,30.0,1000.0,7.0,32.0,253.0,,,,4.0,2.0,,,,,北京优尚酒店管理有限公司充电站,房山区,2025-08-30,256,2026-06-01,Pending
MA002TMQX_110114MA002TMQX0051,CIS,,快充 国家电网,116.327445,40.059492,金榜园小区西侧商户停车场,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 186 0137 6118,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://cdn-evone-oss.echargenet.com/zcContent/roadbook/110114001109/92AF9FEEFB04E20C0A751E1CC85CF069_WR,,yes,Self-service,0,yes,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,国家电网,CHA:5d01957224895f00aa963c7b896dd8d2,,,,2025-08-26 23:33:33.209793,19,0,60.0,125.0,750.0,,,,,,,,19.0,,,,,北京市昌平区金榜园小区公共充电站,昌平区,2025-08-30,256,2026-06-01,Pending
MA1MY0GF9_36793,CIS,,慢充 云快充,115.843823,40.476229,张山营镇政府食堂,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://wtayvyzzmyanm9vx-car-test.oss-cn-hangzhou.aliyuncs.com/1629454691119.jpg,,yes,Self-service,6,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,0,6,,,,7.0,33.0,245.0,,,,6.0,,,,,,张山营镇政府食堂充电站,延庆区,2025-08-30,256,2026-06-01,Pending
MA01QPN39_2945,CIS,,慢充 利嘉智充,115.982232,40.449306,延庆县妫水南街27号颍泽州商厦附近12米,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 082 6699,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gkd-prod-public-1304271637.cos.ap-beijing.myqcloud.com/fpchargethird/img/station/f13cb863b2974e03909f965b6591e725.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,利嘉智充,CHA:4fea5ab204b917156892c96a08cd68ce,,,,2025-08-26 23:33:33.209793,0,1,,,,7.0,32.0,220.0,,,,1.0,,,,,,元件厂小区充电站,延庆区,2025-08-30,256,2026-06-01,Pending
101437000_5790,CIS,,快充 小桔充电,116.379935,40.067856,店上村 进门直行即到,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/image/cab72821c71d7d8f.jpg?srcurl=http://100.69.238.49/static/comp-pad/cab72821c71d7d8f.jpg&mode=online&opt=resize&width=750&height=422,,yes,Self-service,18,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,26,0,120.0,250.0,750.0,,,,,,,,26.0,,,,,北京昌平店上村充电站,昌平区,2025-08-30,256,2026-05-10,Pending
MA002TMQX_110106MA002TMQX0066,CIS,,快充 国家电网,116.432781,39.866632,方庄芳城园二区院内停车场,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 186 0137 6118,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://cdn-evone-oss.echargenet.com/zcContent/roadbook/3000000004823234524/42D36176C4CA59906FB74DBD1E4C5EC2_WR,,yes,Self-service,0,yes,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,国家电网,CHA:5d01957224895f00aa963c7b896dd8d2,,,,2025-08-26 23:33:33.209793,8,0,60.0,180.0,750.0,,,,,,,,8.0,,,,,北京市丰台区方庄芳城园二区公共充电站,丰台区,2025-08-30,256,2026-05-10,Pending
MA002TMQX_110107MA002TMQX0073,CIS,,快充 国家电网,116.231968,39.904589,鲁谷路33号中国中医科学院眼科医院停车场,北京市,北京市,,CN,,PUBLIC,NO,,"08:00,20:00;1,7",,,EASY_CHARGE,CONTRACT,,,,,+86 186 0137 6118,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://cdn-evone-oss.echargenet.com/zcContent/roadbook/3000000005980562717/34163D6CEA54AB7CD8026C6FDF622A77_WR,,yes,Self-service,0,yes,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,国家电网,CHA:5d01957224895f00aa963c7b896dd8d2,,,,2025-08-26 23:33:33.209793,9,0,60.0,120.0,500.0,,,,,,,,9.0,,,,,北京市石景山区眼科医院公共充电站,石景山区,2025-08-30,256,2026-05-20,Pending
MA1MY0GF9_170045,CIS,,快充 云快充,116.388926,39.580637,加录垡汽车充电站,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 828 8517,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://static-cdn.ykccn.com/cpoApp/0e93f1a7a1b6464bb7b347753c624a12-1745658195424.jpg,,yes,Self-service,8,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,14,0,120.0,250.0,1000.0,,,,,,,,14.0,,,,,加录垡汽车充电站,大兴区,2025-08-30,256,2026-05-15,Pending
101437000_65199,CIS,,快充 小桔充电,116.695997,39.870757,临河里街道九棵树东路华远好天地1层华远·好天地东区D座,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 15 135 207 5758,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/static/comp-pad/cded8aa5a397f32b.blob,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,24,0,250.0,250.0,1000.0,,,,,,,,24.0,,,,,中石化龙禹通州迪卡侬充电站,通州区,2025-08-30,256,2026-05-15,Pending
MA59G0765_20531,CIS,,慢充 蔚景云,116.502481,39.91446,八里庄街道京港城市大厦,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 680 3880,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",http://wx.evking.cn/assets/img/default-240-360.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,蔚景云,CHA:cfe026a0e28054198372cfa9f8e70f10,,,,2025-08-26 23:33:33.209793,0,9,,,,7.0,32.0,220.0,,,,9.0,,,,,,北京京港城市大厦充电站,朝阳区,2025-08-30,256,2026-05-20,Pending
551433697_544990049457004545,CIS,,慢充 优易充charge,116.751296,40.171638,道仙庄大街1号,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 082 6699,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gkd-prod-public-1304271637.cos.ap-beijing.myqcloud.com/fpchargethird/img/station/cea7c4f0c60f408687953d39c6a566cf.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,优易充charge,CHA:bbe839fa3bd57b7a0f0e29324be7455d,,,,2025-08-26 23:33:33.209793,0,4,,,,7.0,32.0,220.0,,,,4.0,,,,,,（公共站）北京市顺义区道仙庄充电站三站,顺义区,2025-08-30,256,2026-05-15,Pending
395815801_1101160114,CIS,,快充/慢充 特来电,116.62111,40.90255,市辖区怀柔区喇叭沟门满族乡喇叭沟门村北,北京市,北京市,,CN,,PUBLIC,NO,ALL,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn//teldimage/3b3d65ee8ef24381809f84aa6f8c3a1c.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,1,4,30.0,60.0,500.0,7.0,32.0,220.0,,,,4.0,1.0,,,,,特来电北京怀柔喇叭沟门卫生院充电站,怀柔区,2025-08-30,256,2026-05-10,Pending
313744932_333990,CIS,,快充/慢充 星星充电,117.126231,40.174236,平和街与平兴街交叉口东,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 400 828 0768,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://app-cdn.starcharge.com/27408ea0-8cc4-475b-bb5a-a44c1eb85602.JPG,,yes,Self-service,9,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,星星充电,CHA:5078046e5124cbb7ddb5ffbf48d64ccd,,,,2025-08-26 23:33:33.209793,6,3,60.0,120.0,750.0,7.0,32.0,253.0,,,,3.0,6.0,,,,,星星充电-平谷-联东U谷平谷科技园充电站,平谷区,2025-08-30,256,2026-05-20,Pending
324887859_ee11e3156ae842d98c733c235d1cd36c,CIS,,慢充 珠海驿联,116.503243,39.942488,朝阳区星火西路东200米东风苑1号院B2层,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 185 1033 5000,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://imagepd2.ev-z.com/chargeStationPicture/c26697e669a24691a748a74008cac86b.png,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,珠海驿联,CHA:035111436a4c339e43a366c9725affa0,,,,2025-08-26 23:33:33.209793,0,3,,,,7.0,32.0,220.0,,,,3.0,,,,,,北京朝阳东风苑1号院充电站,朝阳区,2025-08-30,256,2026-05-20,Pending
MA002TMQX_110117MA002TMQX0067,CIS,,快充 国家电网,117.049882,40.097512,东高村镇北张岱村北张岱路与北张岱中路交叉口北侧公共停车场,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 186 0137 6118,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://cdn-evone-oss.echargenet.com/zcContent/roadbook/3000000015456987766/6BC79F8F88A21EA210CC7A7F4C98E0B5_WR,,yes,Self-service,0,yes,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,国家电网,CHA:5d01957224895f00aa963c7b896dd8d2,,,,2025-08-26 23:33:33.209793,8,0,60.0,150.0,750.0,,,,,,,,8.0,,,,,北京市平谷区北张岱村充电站,平谷区,2025-08-30,256,2026-05-10,Pending
101437000_20938,CIS,,快充 小桔充电,116.679253,39.889643,玉桥街道玉桥西里中街柳岸方园 入口直行100米,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 135 8263 5330,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://s3-gz01.didistatic.com/epower-assets/upload/undefined/1870a768f9ad43fd9940973e522f42e4.jpeg,,yes,Self-service,44,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,44,0,250.0,250.0,1000.0,,,,,,,,44.0,,,,,北京通州柳岸方园东侧充电站,通州区,2025-08-30,256,2026-06-01,Pending
MA1MY0GF9_168453,CIS,,快充/慢充 云快充,116.652492,39.913715,前上坡村路,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 828 8517,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,7,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,6,1,60.0,120.0,380.0,7.0,30.0,220.0,,,,1.0,6.0,,,,,前上坡村便民充电站,通州区,2025-08-30,256,2026-05-10,Pending
395815801_1101190343,CIS,,快充/慢充 特来电,115.970312,40.450211,市辖区延庆区延庆镇人民法院,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/134/mmexport164967044885120220411194652.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,1,3,30.0,125.0,750.0,7.0,32.0,220.0,,,,3.0,1.0,,,,,特来电北京市延庆区人民法院充电站,延庆区,2025-08-30,256,2026-06-01,Pending
MA01QPN39_2899,CIS,,慢充 利嘉智充,115.979053,40.461733,川北西社区44号楼45号楼,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 082 6699,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gkd-prod-public-1304271637.cos.ap-beijing.myqcloud.com/fpchargethird/img/station/20252d0cb83949fdb3747e27095b4e3a.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,利嘉智充,CHA:4fea5ab204b917156892c96a08cd68ce,,,,2025-08-26 23:33:33.209793,0,7,,,,7.0,32.0,220.0,,,,7.0,,,,,,川北西社区44号楼45号楼充电站,延庆区,2025-08-30,256,2026-05-20,Pending
101437000_5354,CIS,3.0,快充 小桔充电,116.452749,39.79867,乐巢量贩式KTV(旧宫店) 场站东北侧,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,"CASH,CONTRACT",,,,,+86 137 1675 2083,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://charging-media.bmw-emall.cn/station/comment/2025-04-10/101437000_5354/1.jpg,,yes,Self-service,12,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,12,0,120.0,250.0,750.0,,,,,,,,12.0,,,,,北京大兴中福大厦充电站,大兴区,2025-08-30,256,2026-05-20,Pending
324887859_1ccadf24d5cd4c639659378a6126ffa8,CIS,,快充 珠海驿联,116.108189,39.895775,门头沟区冯石环线与石龙南路交叉路口往西北约50米欢乐大都汇（地下停车场）,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 185 1033 5000,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,珠海驿联,CHA:035111436a4c339e43a366c9725affa0,,,,2025-08-26 23:33:33.209793,4,0,40.0,160.0,750.0,,,,,,,,4.0,,,,,北京门头沟欢乐大都汇充电站,门头沟区,2025-08-30,256,2026-05-10,Pending
MADD8G2W4_1101060005,CIS,2.0,超充/快充 逸安启,116.354465,39.860441,西铁营万达广场B3层E区，近E028号车位,北京市,北京市,,CN,,PUBLIC,NO,INDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.ionchi.com/teldimage/134/66e6a885eaff45ec8b43487b718445c4.jpg,,yes,Self-service,6,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,逸安启,CHA:8f94787a354778c0fade74a9ca73e85d,,,,2025-08-26 23:33:33.209793,6,0,360.0,600.0,1000.0,,,,,,,,6.0,,,,,逸安启超充站-北京西铁营万达广场,丰台区,2025-08-30,256,2026-05-15,Pending
320513112_10-994,CIS,,慢充 依威能源,116.639023,39.655775,采育镇福源路10号,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,依威能源,CHA:29a2e57083d64541a6731c3b908002e2,,,,2025-08-26 23:33:33.209793,0,12,,,,7.0,32.0,253.0,,,,12.0,,,,,,育新花园南里东车库,大兴区,2025-08-30,256,2026-06-01,Pending
MA1MY0GF9_34171,CIS,,慢充 云快充,115.904896,40.370706,康庄小区幸福园12号楼,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://wtayvyzzmyanm9vx-car-test.oss-cn-hangzhou.aliyuncs.com/1617612516177.jpg,,yes,Self-service,4,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,0,4,,,,7.0,33.0,245.0,,,,4.0,,,,,,康庄幸福园12号楼充电站,延庆区,2025-08-30,256,2026-06-01,Pending
395815801_1101060256,CIS,,快充/慢充 特来电,116.159021,39.865342,大灰厂东路北京市丰台区北宫镇大灰厂东路甲11号鑫园闻松台,北京市,北京市,,CN,,PUBLIC,NO,INDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/115/IMG202207111639562022071116460m.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,1,7,15.0,72.0,500.0,7.0,32.0,220.0,,,,7.0,1.0,,,,,特来电北京丰台鑫园小区闻松台充电站,丰台区,2025-08-30,256,2026-05-10,Pending
101437000_41113,CIS,,快充 小桔充电,116.213037,40.202713,马池口镇济泉慧康艾灸养生馆百泉庄旗舰店百泉花园,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 159 9372 7677,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/static/comp-pad/e8856b7a4238f155.blob,,yes,Self-service,12,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,13,0,600.0,600.0,1000.0,,,,,,,,13.0,,,,,京供华商百泉花园充电站,昌平区,2025-08-30,256,2026-06-01,Pending
