provider_place_id,provider_name,preferred_partner,name,longitude,latitude,street,city,region,postal_code,country_code,household_count,evs_access,reservable,evs_location,opening_hours_internal,open_24h,free_charge,auth_methods,payment_methods,entries,entry_exits,exits,notes,phone,url,picture_url,email,dyn_data,service_type,parking_slots,green_energy,floor_level,chargenow,yomi,status,legal_disclaimer,recent_use,operator_name,operator_id,suboperator_name,suboperator_id,verification_status,last_modified,num_dc_charge_points,num_ac_charge_points,max_dc_power,max_dc_amps,max_dc_volts,max_ac_power,max_ac_amps,max_ac_volts,typ1_count,typ2_count,typ3_count,typcn_count,typcndc_count,chademo_count,combotyp1_count,combotyp2_count,cee_count,station_name,district,p_ingestday,provider_id,Target_Date,Planned_Status
395815801_1101120297,CIS,,快充/慢充 特来电,116.65204,39.831989,台湖大街13号台湖镇政府大街13号,北京市,北京市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/115/73792d5248454e0d8c326d0b0980560am.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,4,3,60.0,120.0,500.0,7.0,32.0,220.0,,,,3.0,4.0,,,,,特来电北京通州区台湖镇人民政府充电站,通州区,2025-08-30,256,2026-06-01,Pending
MA1MY0GF9_220833,CIS,,慢充 云快充,116.665217,39.91046,新华东街134号非繁城品酒店（北京通州运河商务区店）,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 828 8517,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,5,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,云快充,CHA:4d9747130d414f242146ba7633c35a78,,,,2025-08-26 23:33:33.209793,0,5,,,,7.0,32.0,264.0,,,,5.0,,,,,,非繁城品酒店（北京通州运河商务区店）充电站,通州区,2025-08-30,256,2026-06-01,Pending
395815801_1101080286,CIS,,慢充 特来电,116.312991,39.950973,万寿寺路甲2号万寿寺路甲2号,北京市,北京市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/134/IMG2021122310463120211223140949.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,0,10,,,,7.0,32.0,220.0,,,,10.0,,,,,,特来电北京万寿寺甲2号院充电站,海淀区,2025-08-30,256,2026-05-10,Pending
395815801_3101130221,CIS,,快充/慢充 特来电,121.381168,31.349055,市辖区宝山区顾村镇镜泊湖路,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/101/e7185609303643f3bfae2280a2b529ea.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,40,20,240.0,250.0,1000.0,7.0,32.0,220.0,,,,20.0,40.0,,,,,特来电快来充宝山顾村公园超充站,宝山区,2025-08-30,256,2026-05-10,Pending
MA2J378Y2_409215581315333,CIS,,慢充 宁波均胜,121.14755,31.02077,昆港公路1088号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 999 7778,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gw.joysonquin.com/common/file/download/409226777301061?409226777301061.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,宁波均胜,CHA:1b8cf5516158af40b0e1fcefde88cdff,,,,2025-08-26 23:33:33.209793,0,12,,,,7.0,32.0,220.0,,,,12.0,,,,,,上海光塑科技园北区充电站,松江区,2025-08-30,256,2026-06-01,Pending
MA59G0765_100206,CIS,,慢充 蔚景云,121.567596,30.866339,瞭海路159弄3号楼南侧车位,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 680 3880,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://assets.evking.cn/fileAssets/3DDCA3680D0E60802025732D6B849971_.png,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,蔚景云,CHA:cfe026a0e28054198372cfa9f8e70f10,,,,2025-08-26 23:33:33.209793,0,3,,,,7.0,32.0,220.0,,,,3.0,,,,,,名悦豪庭充电站,奉贤区,2025-08-30,256,2026-05-10,Pending
395815801_3101151252,CIS,,快充/慢充 特来电,121.913611,30.919925,市辖区浦东新区南汇新城镇城市书香商业街区,上海市,上海市,,CN,,PUBLIC,NO,INDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/115/909b86b2f90248769a362173b22b0763m.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,10,20,240.0,250.0,1000.0,7.0,32.0,220.0,,,,20.0,10.0,,,,,特来电上海爱琴海城市书香充电站,浦东新区,2025-08-30,256,2026-05-10,Pending
MA2J378Y2_440069005738053,CIS,,慢充 宁波均胜,121.347855,31.16023,吴宝路255号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 999 7778,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gw.joysonquin.com/common/file/download/440420319641861?440420319641861.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,宁波均胜,CHA:1b8cf5516158af40b0e1fcefde88cdff,,,,2025-08-26 23:33:33.209793,0,12,,,,7.0,32.0,220.0,,,,12.0,,,,,,上海力国大楼充电站,闵行区,2025-08-30,256,2026-05-20,Pending
320513112_11-723,CIS,,慢充 依威能源,121.521532,31.270541,江浦路1200号信通浦皓园,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,依威能源,CHA:29a2e57083d64541a6731c3b908002e2,,,,2025-08-26 23:33:33.209793,0,11,,,,7.0,32.0,253.0,,,,11.0,,,,,,信通浦皓园,杨浦区,2025-08-30,256,2026-05-10,Pending
MA59G0765_62187,CIS,,快充 蔚景云,121.686072,30.98688,奉城镇申杰路,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 680 3880,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",http://wx.evking.cn/assets/img/default-240-360.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,蔚景云,CHA:cfe026a0e28054198372cfa9f8e70f10,,,,2025-08-26 23:33:33.209793,20,0,120.0,160.0,750.0,,,,,,,,20.0,,,,,哈博康养小镇快充站,奉贤区,2025-08-30,256,2026-05-10,Pending
MA002TMQX_300000800100000262,CIS,,快充 国家电网,121.435127,31.287439,永和路598号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 400 018 5522,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,yes,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,国家电网,CHA:5d01957224895f00aa963c7b896dd8d2,,,,2025-08-26 23:33:33.209793,4,0,60.0,242.0,750.0,,,,,,,,4.0,,,,,上海静安区锦冲新能源电动汽车充电站,静安区,2025-08-30,256,2026-05-20,Pending
MA1FP0228_10579,CIS,,快充 安悦充电,121.543753,31.33048,军工路2670号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CC,CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gwpro.anyocharging.com:5537/img/uploads/2024/06/24/20240624142043595.jpg,,yes,Self-service,18,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,安悦充电,CHA:1afec7971b27c844e2931c0eb73be0cb,,,,2025-08-26 23:33:33.209793,18,0,60.0,80.0,750.0,,,,,,,,18.0,,,,,军工路充电站,杨浦区,2025-08-30,256,2026-05-10,Pending
395815801_3101510625,CIS,,慢充 特来电,121.3638,31.725004,市辖区崇明区庙镇窑桥村村委会,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://resource.teld.cn/teldimage/134/63885618923513197542923.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,特来电,CHA:5479f3f7286204c4695bb304cc779436,,,,2025-08-26 23:33:33.209793,0,3,,,,7.0,32.0,220.0,,,,3.0,,,,,,特来电窑桥村村委会充电站,崇明区,2025-08-30,256,2026-05-15,Pending
MA5ATQWX8_S16306553511119,CIS,,快充 法斯特,121.55688,31.13379,秀沿路228号,上海市,上海市,,CN,,PUBLIC,NO,ALL,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 082 6699,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gkd-prod-public-1304271637.cos.ap-beijing.myqcloud.com/fpchargethird/img/station/49cd943d1dc3484bbbd840973caaeaf2.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,法斯特,CHA:8572c49508bd9f1a8e9079fdc92a0690,,,,2025-08-26 23:33:33.209793,14,0,120.0,120.0,1000.0,,,,,,,,14.0,,,,,浦东新区秀沿路1号站,浦东新区,2025-08-30,256,2026-05-10,Pending
MA1FP0228_12557,CIS,,快充 安悦充电,121.193801,31.27745,安亭镇安拓路56号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CC,CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gwpro.anyocharging.com:5537/img/uploads/2023/04/12/20230412170512957.png,,yes,Self-service,25,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,安悦充电,CHA:1afec7971b27c844e2931c0eb73be0cb,,,,2025-08-26 23:33:33.209793,25,0,90.0,120.0,750.0,,,,,,,,25.0,,,,,安驰超充站（创新港站）,嘉定区,2025-08-30,256,2026-06-01,Pending
MA2J378Y2_422895114063941,CIS,,慢充 宁波均胜,121.594075,31.082087,鹤沙路588弄,上海市,上海市,,CN,,PRIVATE,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 999 7778,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gw.joysonquin.com/common/file/download/423446933909573?423446933909573.jpg,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,宁波均胜,CHA:1b8cf5516158af40b0e1fcefde88cdff,,,,2025-08-26 23:33:33.209793,0,12,,,,7.0,32.0,220.0,,,,12.0,,,,,,上海昱星家园东区充电站,浦东新区,2025-08-30,256,2026-05-10,Pending
101437000_25725,CIS,,快充 小桔充电,121.463724,31.057153,龙吴路5105号,上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,"CONTRACT,MOBIL",,,,,+86 176 0121 0875,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/image/55a08fc0008ad341.blob?srcurl=http://100.69.238.49/static/comp-pad/55a08fc0008ad341.blob&mode=online&opt=resize&width=750&height=422,,yes,Self-service,20,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,20,0,250.0,250.0,1000.0,,,,,,,,20.0,,,,,【拓运捷电】龙吴路充电站,闵行区,2025-08-30,256,2026-05-10,Pending
313744932_335387,CIS,,慢充 星星充电,121.424421,31.28873,汶水路885号,上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 400 828 0768,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://oms.starcharge.com/source/oms/stationImage/rc-upload-1680828436820-202.png,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,星星充电,CHA:5078046e5124cbb7ddb5ffbf48d64ccd,,,,2025-08-26 23:33:33.209793,0,4,,,,7.0,32.0,253.0,,,,4.0,,,,,,一通国际汽配城,静安区,2025-08-30,256,2026-05-20,Pending
101437000_35385,CIS,,快充/慢充 小桔充电,121.56685,31.256744,金杨街道云山路600号车园连锁快修,上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 182 6484 1707,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/static/comp-pad/96103a61f1e349de.blob,,yes,Self-service,20,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,32,5,250.0,250.0,1000.0,7.0,32.0,220.0,,,,5.0,32.0,,,,,上海车园金桥小桔充电站,浦东新区,2025-08-30,256,2026-05-15,Pending
101437000_41469,CIS,,慢充 小桔充电,121.478821,31.332998,中国上海市上海市宝山区淞南七村(长江南路530弄通道西),上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 856 7019,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/static/comp-pad/ac89d45d5c5253b0.blob,,yes,Self-service,12,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,0,12,,,,7.0,32.0,220.0,,,,12.0,,,,,,泽胜牧光淞南七村慢充站,宝山区,2025-08-30,256,2026-05-20,Pending
320513112_11-00V,CIS,,慢充 依威能源,121.35153,31.114826,莘庄镇疏影路1366号,上海市,上海市,,CN,,PRIVATE,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 135 6410 9737,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",,,yes,Self-service,0,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,依威能源,CHA:29a2e57083d64541a6731c3b908002e2,,,,2025-08-26 23:33:33.209793,0,2,,,,7.0,32.0,253.0,,,,2.0,,,,,,闵房泊寓疏影路店,松江区,2025-08-30,256,2026-05-15,Pending
MA1FP0228_11523,CIS,,慢充 安悦充电,121.367184,31.455658,罗东路1399号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CC,CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gwpro.anyocharging.com:5537/img/img/charge.png,,yes,Self-service,10,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,安悦充电,CHA:1afec7971b27c844e2931c0eb73be0cb,,,,2025-08-26 23:33:33.209793,0,10,,,,7.0,32.0,220.0,,,,10.0,,,,,,中玮达齿轮箱,宝山区,2025-08-30,256,2026-06-01,Pending
313744932_353139,CIS,,快充 星星充电,121.41435,31.12233,罗锦路218号,上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,00:00;1,7",,,,CONTRACT,,,,,+86 400 828 0768,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://app-cdn.starcharge.com/8dca6c71-ba70-4252-a5ce-2c231b9c3272.JPG,,yes,Self-service,4,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,星星充电,CHA:5078046e5124cbb7ddb5ffbf48d64ccd,,,,2025-08-26 23:33:33.209793,3,0,60.0,120.0,500.0,,,,,,,,3.0,,,,,点充罗锦路充电站,闵行区,2025-08-30,256,2026-05-10,Pending
MA59G0765_19354,CIS,,慢充 蔚景云,121.451837,31.157201,龙华街道欣星快捷酒店(上海南站店)上海呈岸酒店(徐汇滨江店),上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 400 680 3880,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",http://wx.evking.cn/assets/img/default-240-360.jpg,,yes,Self-service,3,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,蔚景云,CHA:cfe026a0e28054198372cfa9f8e70f10,,,,2025-08-26 23:33:33.209793,0,3,,,,7.0,32.0,220.0,,,,3.0,,,,,,上海徐汇黄石路27号停车场充电站,徐汇区,2025-08-30,256,2026-06-01,Pending
101437000_41799,CIS,,快充 小桔充电,121.188957,31.350015,外冈镇上探机械(东北门),上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 189 6439 9829,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/static/comp-pad/9d2aac4599a59e29.blob,,yes,Self-service,36,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,36,0,250.0,250.0,1000.0,,,,,,,,36.0,,,,,小桔-科岚嘉松北路超充站,嘉定区,2025-08-30,256,2026-05-10,Pending
313744932_357412,CIS,,快充 星星充电,121.074379,31.035616,沈巷镇沈太路2588号太阳岛旅游度假区,上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,CONTRACT,,,,,+86 177 1581 3560,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://oms.starcharge.com/source/station/0a659a04-5f87-4b90-99ba-c018749bc83c_1.png,,yes,Self-service,20,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,星星充电,CHA:5078046e5124cbb7ddb5ffbf48d64ccd,,,,2025-08-26 23:33:33.209793,18,0,60.0,,750.0,,,,,,,,18.0,,,,,青浦区太阳岛充电站,青浦区,2025-08-30,256,2026-05-15,Pending
MA1FP0228_12587,CIS,,快充 安悦充电,121.456407,31.654063,建设镇公安门口（建星路109号）,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CC,CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gwpro.anyocharging.com:5537/img/img/charge.png,,yes,Self-service,2,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,安悦充电,CHA:1afec7971b27c844e2931c0eb73be0cb,,,,2025-08-26 23:33:33.209793,2,0,120.0,160.0,750.0,,,,,,,,2.0,,,,,建设镇公安门口（建星路109号）,崇明区,2025-08-30,256,2026-06-01,Pending
MA002TMQX_310117MA002TMQX0037,CIS,,快充/慢充 国家电网,121.223032,31.041914,新松江路650号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,EASY_CHARGE,CONTRACT,,,,,+86 400 018 5522,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://cdn-evone-oss.echargenet.com/zcContent/roadbook/station-3140190000005344/EF516A148AE8A266E9FBD72C8FEDE3F7_WR,,yes,Self-service,0,yes,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,国家电网,CHA:5d01957224895f00aa963c7b896dd8d2,,,,2025-08-26 23:33:33.209793,7,9,60.0,120.0,500.0,60.0,1.0,500.0,,,,9.0,7.0,,,,,上海松江区第一人民医院急诊停车场电动汽车充电站,松江区,2025-08-30,256,2026-05-20,Pending
MA1FP0228_12502,CIS,,快充/慢充 安悦充电,121.931085,30.909681,南汇新城镇云鹃北路66弄1-4号,上海市,上海市,,CN,,PUBLIC,NO,,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CC,CONTRACT,MOBIL",,,,,,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://gwpro.anyocharging.com:5537/img/img/charge.png,,yes,Self-service,37,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,安悦充电,CHA:1afec7971b27c844e2931c0eb73be0cb,,,,2025-08-26 23:33:33.209793,5,32,30.0,40.0,750.0,7.0,32.0,220.0,,,,32.0,5.0,,,,,临港中心一期部分（三管）,浦东新区,2025-08-30,256,2026-06-01,Pending
101437000_42529,CIS,,快充 小桔充电,121.181448,31.159472,香花桥街道哇啦哇啦儿童运动成长中心8090青年创业基地,上海市,上海市,,CN,,PUBLIC,NO,OUTDOOR,"00:00,24:00;1,7|00:00,24:00;8,8",YES,,,"CONTRACT,MOBIL",,,,,+86 176 0123 2075,"http://chargenow.evpowergroup.com/,http://chargenow.evpowergroup.com/",https://comppad.didistatic.com/static/comp-pad/e4ac1c191a99e764.blob,,yes,Self-service,10,no,,no,,,The prices of the BMW Charging/MINI Charging partner apply.,,小桔充电,CHA:24fd36632c112e6b90788e9ea473873f,,,,2025-08-26 23:33:33.209793,10,0,180.0,250.0,750.0,,,,,,,,10.0,,,,,8090青年创业园小桔超充站,青浦区,2025-08-30,256,2026-05-15,Pending
